目标,到700km线时间(min),外层线交点,方位角,高度(km)
1,32.5,"(130.6,687.7)",79.2,9.5
2,32.5,"(418.1,561.4)",53.3,10.2
3,32.5,"(-496.5,493.4)",135.2,10.5
4,32.5,"(207.5,668.5)",72.8,11.3
5,32.5,"(77.7,695.7)",83.6,11.5
6,32.5,"(-308.6,628.3)",116.2,10.8
7,32.5,"(-105.5,692.0)",98.7,10.5
8,32.5,"(83.5,695.0)",83.1,9.3
9,32.5,"(606.2,350.0)",30.0,9.8
10,32.5,"(576.1,397.6)",34.6,9.2
11,32.5,"(-317.8,623.7)",117.0,11.2
12,32.5,"(175.4,677.7)",75.5,11.4
