airspace,x1,y1,x2,y2,x3,y3,x4,y4
1,-458.35,327.40,-327.40,458.35,-392.86,523.82,-523.82,392.86
2,-233.24,512.71,-54.36,560.64,-78.32,650.07,-257.21,602.14
3,54.36,560.64,233.24,512.71,257.21,602.14,78.32,650.07
4,327.40,458.35,458.35,327.40,523.82,392.86,392.86,523.82
